INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (31, 99)) + Blob of color:(255, 0, 0), size: 5, location at: (37, 104))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (362, 208)) + Blob of color:(0, 255, 0), size: 4, location at: (362, 201))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 8, location at: (352, 221)) + Blob of color:(0, 255, 0), size: 5, location at: (349, 227))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (719, 336)) + Blob of color:(0, 255, 0), size: 6, location at: (712, 337))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (469, 56)) + Blob of color:(255, 0, 0), size: 7, location at: (469, 47))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (322, 187)) + Blob of color:(0, 0, 255), size: 13, location at: (324, 200))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (324, 200)) + Blob of color:(0, 0, 255), size: 6, location at: (322, 187))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (317, 194)) + Blob of color:(0, 0, 255), size: 13, location at: (326, 194))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (326, 194)) + Blob of color:(0, 0, 255), size: 6, location at: (317, 194))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (318, 192)) + Blob of color:(0, 0, 255), size: 13, location at: (325, 191))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (325, 191)) + Blob of color:(0, 0, 255), size: 6, location at: (318, 192))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (316, 199)) + Blob of color:(0, 0, 255), size: 13, location at: (331, 194))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (331, 194)) + Blob of color:(0, 0, 255), size: 6, location at: (316, 199))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (319, 192)) + Blob of color:(0, 0, 255), size: 13, location at: (327, 194))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (327, 194)) + Blob of color:(0, 0, 255), size: 6, location at: (319, 192))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (326, 197)) + Blob of color:(0, 0, 255), size: 13, location at: (324, 195))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (324, 195)) + Blob of color:(0, 0, 255), size: 6, location at: (326, 197))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (330, 201)) + Blob of color:(0, 0, 255), size: 13, location at: (325, 202))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (325, 202)) + Blob of color:(0, 0, 255), size: 6, location at: (330, 201))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (326, 196)) + Blob of color:(0, 0, 255), size: 13, location at: (326, 205))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (326, 205)) + Blob of color:(0, 0, 255), size: 6, location at: (326, 196))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (322, 195)) + Blob of color:(0, 0, 255), size: 13, location at: (329, 204))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (329, 204)) + Blob of color:(0, 0, 255), size: 6, location at: (322, 195))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (316, 189)) + Blob of color:(0, 0, 255), size: 13, location at: (322, 199))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (322, 199)) + Blob of color:(0, 0, 255), size: 6, location at: (316, 189))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (318, 187)) + Blob of color:(0, 0, 255), size: 13, location at: (315, 199))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (315, 199)) + Blob of color:(0, 0, 255), size: 6, location at: (318, 187))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (311, 190)) + Blob of color:(0, 0, 255), size: 13, location at: (309, 201))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (309, 201)) + Blob of color:(0, 0, 255), size: 6, location at: (311, 190))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (314, 188)) + Blob of color:(0, 0, 255), size: 13, location at: (310, 198))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (310, 198)) + Blob of color:(0, 0, 255), size: 6, location at: (314, 188))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (307, 181)) + Blob of color:(0, 0, 255), size: 13, location at: (311, 193))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (311, 193)) + Blob of color:(0, 0, 255), size: 6, location at: (307, 181))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (300, 186)) + Blob of color:(0, 0, 255), size: 13, location at: (315, 187))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (315, 187)) + Blob of color:(0, 0, 255), size: 6, location at: (300, 186))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (306, 179)) + Blob of color:(0, 0, 255), size: 13, location at: (311, 183))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (311, 183)) + Blob of color:(0, 0, 255), size: 6, location at: (306, 179))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (309, 180)) + Blob of color:(0, 0, 255), size: 13, location at: (316, 181))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (316, 181)) + Blob of color:(0, 0, 255), size: 6, location at: (309, 180))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (305, 186)) + Blob of color:(0, 0, 255), size: 13, location at: (311, 174))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (311, 174)) + Blob of color:(0, 0, 255), size: 6, location at: (305, 186))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (307, 192)) + Blob of color:(0, 0, 255), size: 13, location at: (311, 177))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (311, 177)) + Blob of color:(0, 0, 255), size: 6, location at: (307, 192))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (314, 190)) + Blob of color:(0, 0, 255), size: 13, location at: (312, 183))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (312, 183)) + Blob of color:(0, 0, 255), size: 6, location at: (314, 190))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (321, 195)) + Blob of color:(0, 0, 255), size: 13, location at: (306, 189))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (306, 189)) + Blob of color:(0, 0, 255), size: 6, location at: (321, 195))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (315, 199)) + Blob of color:(0, 0, 255), size: 13, location at: (307, 194))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (307, 194)) + Blob of color:(0, 0, 255), size: 6, location at: (315, 199))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (309, 201)) + Blob of color:(0, 0, 255), size: 13, location at: (305, 187))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (305, 187)) + Blob of color:(0, 0, 255), size: 6, location at: (309, 201))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (51, 552)) + Blob of color:(255, 0, 0), size: 7, location at: (49, 540))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (273, 146)) + Blob of color:(0, 0, 255), size: 13, location at: (278, 154))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (278, 154)) + Blob of color:(0, 0, 255), size: 4, location at: (273, 146))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (272, 145)) + Blob of color:(0, 0, 255), size: 13, location at: (279, 149))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (279, 149)) + Blob of color:(0, 0, 255), size: 4, location at: (272, 145))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (270, 142)) + Blob of color:(0, 0, 255), size: 13, location at: (276, 146))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (276, 146)) + Blob of color:(0, 0, 255), size: 4, location at: (270, 142))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (277, 140)) + Blob of color:(0, 0, 255), size: 13, location at: (280, 151))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (280, 151)) + Blob of color:(0, 0, 255), size: 4, location at: (277, 140))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (274, 139)) + Blob of color:(0, 0, 255), size: 13, location at: (277, 149))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (277, 149)) + Blob of color:(0, 0, 255), size: 4, location at: (274, 139))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (277, 142)) + Blob of color:(0, 0, 255), size: 13, location at: (270, 154))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (270, 154)) + Blob of color:(0, 0, 255), size: 4, location at: (277, 142))
